N°,Couleur,inventaire,Format,Etagère,"valeur stock(€)",Région,Appellation,Domaine,Cuvée,Millésime,Date d'achat,Fournisseur,Qté,Prix unitaire (€),franc,"Prix total (€)",boire à partir de,apogée début,apogée fin,boire avant,Commentaires,Cote unitaire,Cote Totale
,B,1,,T2,0,Rhône,Crozes-Hermitage,Domaine Olivier Dumaine,"""La Croix de verre""",2010,0,,,0.0,,,,,,,urgent,,
,B doux,1,,G13,0,Roussillon,Rivesaltes ,Les caves du mont Tauch ,Maccbeo,,0,,,0.0,,,,,,,,,
,,1,,G13,0,Roussillon,Banyuls,Domaine de l'Etoile,doux paillé horsd'âge,,0,,,0.0,,,,,,,,,
,,1,,G13,0,Roussillon,Banyuls,Domaine de l'Etoile,Grand cru,1988,0,,,0.0,,,,,,,,,
,,1,,G13,0,Roussillon,Banyuls,Vinum rectoris,Fleur de pierre,,0,,,0.0,,,,,,,,,
,,1,,G13,0,Roussillon,Maury,Mas Amiel,vintage,1997,0,,,0.0,,,,,,,,,
475.1,,1,,A2,0,Roussillon,Rivesaltes ,Caves Arnaud de Villeneuve,,1988,0,,1,0.0,,,,,,,,,
732.1,,1,,G13,0,Roussillon,Rivesaltes ,Domaine Marc Parcé,Rivesaltes ambré,1979,0,,1,0.0,,0,,,,,élevé 39 ans en barrique. Mis en b en 2019.,,
853.1,,2,,A3,0,Sud-Ouest,Madiran,Château Bouscassé,,2000,0,,,0.0,,,,,,,,,
69,,1,,L3,28,Bordeaux,Margaux,Château Bel Air Marquis d'Aligre,,1858,19811128,Enchères Versailles,1,28.2,555.0,28,,,,,Antiquité. Acheté aux enchères (voir article commissaire priseur),,
104,,1,2,B4,5,Bordeaux,Pessac-Léognan,Château de Fieuzal,,1982,19830301,au Domaine,6,4.6,90.0,27,,,,2010,Etiquettes très abimées. 1Mg bu le 25 aout 2021 en Bretagne. Sur le déclin mais encore racé.,,
104.1,,3,2,J5,14,Bordeaux,Pessac-Léognan,Château de Fieuzal,,1982,19830301,au Domaine,6,4.6,90.0,27,,,,2010,,,
108,,1,2,B5,4,Provence,Bandol,Domaine Tempier,Cuvée Spéciale,1980,19830316,JM.Peyraud,5,3.8,74.0,19,,,,,,,
106,,2,2,B5,9,Provence,Bandol,Domaine Tempier,La Tourtine,1979,19830316,JM.Peyraud,4,4.6,90.0,18,,,,,,,
110,,1,,M5,4,Rhône,Côte Rotie,Domaine Guigal ,La Mouline,1979,19830322,E.Guigal,12,4.0,79.0,48,,,,,,,
118,,1,,B3,4,Bordeaux,Pauillac,Château Duhart- Milon,,1982,19830701,Hédiard,12,4.3,85.0,52,,,,,Primeur,,
147,,4,2,M4,18,Rhône,Chateauneuf du pape,Château de Beaucastel,,1982,19840612,Pierre Perrin,6,4.6,90.0,27,,,,,,,
153,,2,,Bo4,7,Languedoc,IGP St Guilhem-le-Désert– Cité d’Aniane,Mas Daumas Gassac ,Rouge,1985,19860925,au Domaine,12,3.4,67.0,41,,,,,Primeur,,
157,,0,,M5,0,Rhône,Côte-Rôtie,Domaine E. Guigal,La landonne,1983,19870401,au Domaine,2,7.5,148.0,15,,,,,dernière b bue avec Louis Duvochel en novembre 2021. Encore très appréciée.,,
177, B doux,5,,J2,31,Bordeaux,Sauternes,Château La Tour Blanche,,1988,19890624,Lestapis,12,6.2,122.2,74,,,,,Primeur,,
176, B doux,11,,B2,98,Bordeaux,Sauternes,Château Suduiraut,,1988,19890624,Lestapis,12,8.9,175.5,107,,,,,Primeur,,
180,,1,,A3,4,Rhône,IGP Alpilles,Domaine de Trévallon,,1987,19891228,au Domaine,9,4.1,80.0,37,,,,,entretien avec Eloi Durbach,,
185,B doux,2,,K12,14,Loire,Vouvray,Domaine Huet,Le Mont 1er trie,1989,19900505,au Domaine,6,7.1,140.0,43,,,,,,,
184,B doux,10,,K12/K13,46,Loire,Vouvray,Domaine Huet,Le Haut lieu,1989,19900505,au Domaine,18,4.6,90.0,82,,,,,,,
187,,2,,M4,5,Loire,Chinon,Domaine Charles Joguet,Varenne du Grand Clos,1989,19901003,au Domaine,6,2.3,46.0,14,,,,,,,
192,B,1,,D12,4,Alsace,Alsace ,Domaine Zindt Humbrecht,"Riesling ""Brand""",1988,19901106,au Domaine,3,4.4,87.0,13,,,,,1b bue le 31/01/2021 anniversaire Vincent. Pétrole. Très buvable encore.,,
191,B,2,,D3,10,Alsace,Alsace ,Domaine Zindt Humbrecht,"Gewurtztraminer ""Hengst""",1988,19901106,au Domaine,3,4.8,95.0,14,,,,,,,
190,B doux,0,,D2,0,Alsace,Alsace,Domaine Zindt Humbrecht,"Gewurtztraminer vendanges tardives ""Heimbourg""",1988,19901106,au Domaine,3,10.2,201.0,31,,,,,Bue avec louis et Anne-Marie Duvochel à Dampierre en nov 2021. B exceptionnelle! Une splendeur.,,
198,,2,,Bo5,15,Bourgogne,Echezeaux,Domaine Bouchard,Rouge,1990,19910720,Nicolas,12,7.5,147.0,90,,,,,Primeur,,
209,,2,,B3,11,Bordeaux,Haut-Médoc,Château Fellonneau,,1942,19911221,EnchèresRambouillet,4,5.6,110.0,22,,,,,,,
221,,1,4,J1,6,Languedoc,IGP St Guilhem-le-Désert– Cité d’Aniane,Mas daumas Gassac,rouge,1991,19930420,au Domaine,4,5.7,112.0,23,,,,,,,
226,,2,,B3,11,Bordeaux,Saint Julien,Château Gruaud Larose,,1990,19931009,Intermarché,12,5.6,110.0,67,,,,,Urgent épaule - 8b vendues en mars 2021 90€/b sans épaules,,
425.1,,1,,M2,2,Loire,Bourgueil,Domaine Audebert  ,Domaine du Grand Clos,1990,19940305,Entrepôts Ney,12,1.9,,23,,,,,,,
239,,3,,J4,17,Bordeaux,Saint-Emilion,Château Pavie Macquin,,1993,19940705,CVC,12,5.6,110.0,67,,,,,Primeur,,
246,B doux,1,,K10,2,Loire,Montlouis,Domaine Deletang,1/2 sec,1988,19941119,au Domaine,8,2.0,40.0,16,,,,,,,
248,B doux,1,,K10,6,Loire,Montlouis,Domaine Deletang,moelleux 90g résiduel,1990,19941119,au Domaine,2,5.6,110.0,11,,,,,,,
254,B doux,2,,K11,5,Loire,Bonnezeaux,Domaine de la Croix des Loges,,1983,19941211,Enchères Rambouillet,5,2.7,53.0,13,,,,,,,
270,R doux,2,,G7,4,Roussillon,Maury,Mas Amiel,Réserve ,1989,19950419,au Domaine,3,2.2,44.0,7,,,,,,,
269,R doux,3,,G12,8,Roussillon,Maury,Mas Amiel,vintage,1994,19950419,au Domaine,3,2.7,53.0,8,,,,,,,
274,,2,,A5,12,Bordeaux,Saint-Estèphe,Cos d'Estournel,,1994,19950526,CVC,6,5.9,116.0,35,,,,,1b bue en sept 2021 avec Vincent. Encore de beaux restes. Surtout au nez.,,
277,,1,,B3,4,Bordeaux,Pomerol,Château La Violette,,1995,19960501,CVC,12,4.3,84.0,51,,,,,Primeur,,
286,B,1,,D16,9,Jura,Arbois,Domaine Rolet,Vin jaune,1988,19961130,au Domaine,1,8.6,170.0,9,,,,,,,
297,,0,,S3,0,Languedoc,Côteaux du Languedoc,Mas Jullien,Depierre,1996,19980401,au Domaine,6,2.0,40.0,12,,,,,Dernière b bue le 22/01/2022 anniv Vincent. Buvable mais trop vieux.,,
300,B doux,8,,A2,77,Bordeaux,Sauternes,Château Rieussec,,1997,19980501,Duclot,12,9.7,190.0,116,,,,,botrytis. 1b bue club vin 05022022: excellent,,
304,B doux,1,,K7,4,Loire,Coteaux du Layon,Château du Breuil,Vieilles vignes,1997,19981204,au Domaine,4,4.0,78.0,16,,,,,acheté aux caves particulières,,
307,B doux,3,,A2,9,Roussillon,Muscat de Rivesaltes ,Domaine Cazes,,1998,19981204,au Domaine,5,3.0,60.0,15,,,,,acheté aux caves particulières,,
309,,1,2,Bo3,7,Provence,Bandol,Château de Pibarnon,,1998,19990421,au Domaine,6,7.3,144.0,44,,,,,primeur,,
316,B doux,2,0.67,K7,15,Loire,Coteaux du Layon,Château du Breuil,Orantium,1997,19991205,au Domaine,2,7.6,150.0,15,,,,,caves particulières,,
325,,4,,G6/G5,14,Roussillon,Rivesaltes ,?,Hors d'Age,1974,20000415,Auchan,6,3.4,67.0,20,,,,,,,
329,,5,,B29,23,Bordeaux,Pessac-Léognan,Abeille de Fieuzal,,1996,20000915,Auchan,12,4.6,90.0,55,,2005,2015,2020,,,
338,B doux,1,,B2,7,Bordeaux,Sauternes,Château Sigalas-Rabaud,,1998,20010701,Auchan,6,6.6,130.0,40,,,,,,,
339,,6,,B3,38,Bordeaux,Margaux,Château Giscours,,1998,20010701,Auchan,12,6.3,123.0,75,,,,,Urgent,,
341,B doux,3,0.67,J2,18,Bordeaux,Sauternes,Château Rayne-Vignaud,,1997,20010901,E. Leclerc,6,6.0,118.0,36,,,,,1b donnée à F déc2020. 1b bue avec C&V à Meudon 27122020,,
348,B,1,0.67,G3,6,Hongrie,Tokaji,Domaine Megyer,5 Puttonyos,1993,20010901,E. Leclerc,2,5.5,109.0,11,,,,,,,
345,B doux,1,0.67,K7,4,Loire,Côteaux de Saumur,Domaine de la Perruche,"""Les Rôtissants""",1995,20010901,E. Leclerc,2,3.9,76.0,8,,,,,,,
346,B doux,2,0.67,K9,6,Loire,Bonnezeaux,Domaine René Renou,Tri de vendange,1999,20010901,E. Leclerc,2,2.9,58.0,6,,,,,,,
353,B doux,2,0.5,K1,14,Jura,Arbois,Domaine Rolet,Vin de Paille,1997,20011201,au Domaine,3,6.9,135.0,21,,,,,dessert chocolat acheté aux caves particulières,,
373,B doux,6,0.5,J2,35,Bordeaux,Sauternes,Château La Tour Blanche,,2001,20020630,1855,6,5.8,,35,,,,,,,
372,B doux,6,,A2,86,Bordeaux,Sauternes,Château Rieussec,,2001,20020630,1855,6,14.3,,86,,,,,,,
371,B doux,6,,A2,75,Bordeaux,Sauternes,Château Suduiraut,,2001,20020630,1855,6,12.5,,75,,,,,,,
377,B doux,2,,K5,4,Loire,Côteaux du Layon,Domaine Dominique Dufour," ""Aussigoins""",1996,20021201,Grimbert Thales,18,2.2,,39,,,,,1b bue le 22/02/2022 Beaucoup de plaisir,,
379,,7,,Bo1,31,Bordeaux,Pessac-Léognan,Château La Louvière,,2001,20030902,Auchan,12,4.4,,53,,,,,,,
383,B doux,6,,A2,45,Bordeaux,Sauternes,Château Sigalas-Rabaud,,2001,20030906,Auchan,6,7.4,,45,,,,,,,
387,B doux,3,,A2,34,Bordeaux,Sauternes,Château La Tour Blanche,,2003,20040530,1855,3,11.2,,34,,,,,Acheté en primeur,,
389,B doux,1,,A2,12,Bordeaux,Sauternes,Château Lafaurie-Peyraguey,,2003,20040530,1855,1,11.6,,12,,,,,Acheté en primeur,,
390,B doux,1,,A2,12,Bordeaux,Sauternes,Château Rieussec,,2003,20040530,1855,1,12.4,,12,,,,,Acheté en primeur,,
388,B doux,1,,A2,13,Bordeaux,Sauternes,Château Suduiraut,,2003,20040530,1855,1,13.2,,13,,,,,Acheté en primeur,,
393,B doux,2,,A2,15,Bordeaux,Sauternes,Château Sigalas-Rabaud,,2002,20040904,Auchan,6,7.3,,44,,,,,,,
398,B doux,1,,B2,4,Bordeaux,Montbazillac,Château Haut-Theulet,,2002,20050928,E. Leclerc,2,4.0,,8,,,,,,,
402,,3,,L3,14,Bordeaux ,Côtes de Bourg,Château Tayac,cuvée prestige,2000,20051126,au Domaine,6,4.5,,27,,2005,2025,2027,Sortie œnologique Thales TOSA. 1b bue avec François  le 26/03/21: excellente,,
406,B,1,,D2,7,Alsace,Alsace,Domaine Paul Blanck,Gewurztraminer Furstentum,2001,20060311,au Domaine,2,6.8,,14,,,,,"péniche ""Vignobles et Signatures""",,
405,B,1,,D2,6,Alsace,Alsace,Domaine Paul Blanck,Riesling Furstentum,2002,20060311,au Domaine,3,5.5,,17,,,,,"péniche ""Vignobles et Signatures""",,
407,,5,,B3,49,Bordeaux,Saint-Estèphe,Château Haut-Marbuzet,,2005,20060603,1855,6,9.8,,59,,,,,Acheté en primeur,,
410.1,B,1,,A4,12,Bordeaux,Pessac-Léognan,Domaine de Chevalier,Blanc,2005,20060615,1855,6,12.3,,74,,,,,Acheté en primeur. Urgent,,
408,,2,,L4,9,Bordeaux,Moulis,Château Maucaillou,,2005,20060615,1855,6,4.6,,28,,,,,Acheté en primeur,,
409,,3,,A5,29,Bordeaux,Pessac-Léognan,Château Malartic Lagravière,,2005,20060615,1855,6,9.6,,58,,,,,Acheté en primeur_1b bue le 01/10/2021 avec D&C. Bonne facture.,,
410,,7,,A4,86,Bordeaux,Pessac-Léognan,Domaine de Chevalier,Rouge,2005,20060615,1855,6,12.3,,74,,,,,Acheté en primeur,,
411,,3,2,J5,19,Bordeaux,Côtes de Bourg,Château Martinat,,2004,20061125,Caves particulières,6,6.3,,38,,,,,,,
416,B,1,,G3,5,Jura,Arbois,Domaine Rollet,Savagnin cuvée Montessorin,2000,20061125,Caves particulières,4,4.7,,19,,,,,,,
417,B,2,,K2,5,Jura,Arbois,Domaine Ligier,Chardonnay,2005,20061125,Caves particulières,6,2.7,,16,,,,,,,
937,,6,,Bo2,10,Bordeaux,Lussac-Saint-Emilion,Vieux Château Chambeau,,2005,20070101,Vignery,6,1.7,,10,2008,2008,2010,2012,acheté pour Sylvaine Duvochel,,
421,,0,,L2,0,Provence,Bandol,Château de Pibarnon,,2004,20070420,au Domaine,6,8.3,,50,,,,,acheté au domaine avec les enfants. Dernière b bue avec Benoit et didier sur canard sauvage en nov 2021. A bien tenu la route.,,
422,,1,2,B5,24,Provence,Bandol,Domaine Tempier,La Tourtine,2000,20070420,au Domaine,3,23.7,,71,,,,,,,
